:END_ID(VOCAB-ID),:START_ID(VOCAB-ID),OriginalSource:string,Type:string,:TYPE,Source
HGNC_5999,HGNC_15561,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_15561,HGNC_5999,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5995,HGNC_15561,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_15561,HGNC_5995,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_4221,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4221,HGNC_1076,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_4221,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4221,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5999,HGNC_15552,to check,receptor_of,Curated_relationship,CellPhoneDB
HGNC_15552,HGNC_5999,to check,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5995,HGNC_15552,to check,receptor_of,Curated_relationship,CellPhoneDB
HGNC_15552,HGNC_5995,to check,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5964,HGNC_5962,"1j7v, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5962,HGNC_5964,"1j7v, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5965,HGNC_5962,"1j7v, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5962,HGNC_5965,"1j7v, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_4216,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4216,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5993,HGNC_5992,"4dep, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5992,HGNC_5993,"4dep, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5995,HGNC_5992,"4dep, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5992,HGNC_5995,"4dep, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6003,HGNC_11346,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_11346,HGNC_6003,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6004,HGNC_11346,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_11346,HGNC_6004,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_174,HGNC_4222,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4222,HGNC_174,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1077,HGNC_1076,"3evs,  PDB complex higher affinity",receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_1077,"3evs,  PDB complex higher affinity",receptor_of,Curated_relationship,CellPhoneDB
HGNC_1078,HGNC_1076,"3evs,  PDB complex higher affinity",receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_1078,"3evs,  PDB complex higher affinity",receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_4222,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4222,HGNC_1076,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_4222,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4222,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_174,HGNC_1069,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1069,HGNC_174,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_1074,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1074,HGNC_1076,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1078,HGNC_1074,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1074,HGNC_1078,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5993,HGNC_5991,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5991,HGNC_5993,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5995,HGNC_5991,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5991,HGNC_5995,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6019,HGNC_6018,"1p9m, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6018,HGNC_6019,"1p9m, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6021,HGNC_6018,"1p9m, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6018,HGNC_6021,"1p9m, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6003,HGNC_5990,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5990,HGNC_6003,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6004,HGNC_5990,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5990,HGNC_6004,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_3763,HGNC_12680,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_12680,HGNC_3763,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6307,HGNC_12680,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_12680,HGNC_6307,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1077,HGNC_4220,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4220,HGNC_1077,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_4220,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4220,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6030,HGNC_6029,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6029,HGNC_6030,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6010,HGNC_6029,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6029,HGNC_6010,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_172,HGNC_4215,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4215,HGNC_172,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_174,HGNC_4215,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4215,HGNC_174,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_18788,HGNC_7090,"1hyr, PDB partially, Induces NK Cell Activation. Reviewed in PMID: 24223577",receptor_of,Curated_relationship,CellPhoneDB
HGNC_7090,HGNC_18788,"1hyr, PDB partially, Induces NK Cell Activation. Reviewed in PMID: 24223577",receptor_of,Curated_relationship,CellPhoneDB
HGNC_16977,HGNC_7090,"1hyr, PDB partially, Induces NK Cell Activation. Reviewed in PMID: 24223577",receptor_of,Curated_relationship,CellPhoneDB
HGNC_7090,HGNC_16977,"1hyr, PDB partially, Induces NK Cell Activation. Reviewed in PMID: 24223577",receptor_of,Curated_relationship,CellPhoneDB
HGNC_8507,HGNC_21708,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_21708,HGNC_8507,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6021,HGNC_21708,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_21708,HGNC_6021,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6009,HGNC_5977,"Need expression of IL15RA (Q13261) in other cells. 2z3q, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5977,HGNC_6009,"Need expression of IL15RA (Q13261) in other cells. 2z3q, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6010,HGNC_5977,"Need expression of IL15RA (Q13261) in other cells. 2z3q, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5977,HGNC_6010,"Need expression of IL15RA (Q13261) in other cells. 2z3q, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_1078,HGNC_4220,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4220,HGNC_1078,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_3763,HGNC_8893,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_8893,HGNC_3763,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6307,HGNC_8893,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_8893,HGNC_6307,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_1069,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1069,HGNC_1076,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_1069,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1069,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_465,HGNC_464,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_464,HGNC_465,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_464,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_464,HGNC_1076,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_3763,HGNC_12681,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_12681,HGNC_3763,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6307,HGNC_12681,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_12681,HGNC_6307,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6597,HGNC_6596,"1pvh, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6596,HGNC_6597,"1pvh, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6021,HGNC_6596,"1pvh, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6596,HGNC_6021,"1pvh, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_1077,HGNC_1074,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1074,HGNC_1077,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5994,HGNC_6000,low affinity,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6000,HGNC_5994,low affinity,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5995,HGNC_6000,low affinity,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6000,HGNC_5995,low affinity,receptor_of,Curated_relationship,CellPhoneDB
HGNC_171,HGNC_21650,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_21650,HGNC_171,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1077,HGNC_1073,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1073,HGNC_1077,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5986,HGNC_5986,"3wo3, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5988,HGNC_5986,"3wo3, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5986,HGNC_5988,"3wo3, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5989,HGNC_5986,"3wo3, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5986,HGNC_5989,"3wo3, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_18788,HGNC_16793,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16793,HGNC_18788,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16977,HGNC_16793,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16793,HGNC_16977,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_172,HGNC_4223,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4223,HGNC_172,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_4223,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4223,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_18788,HGNC_14894,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_14894,HGNC_18788,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16977,HGNC_14894,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_14894,HGNC_16977,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6009,HGNC_6001,"3qaz, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6001,HGNC_6009,"3qaz, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6010,HGNC_6001,"3qaz, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6001,HGNC_6010,"3qaz, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_18584,HGNC_18365,"5t5w, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_18365,HGNC_18584,"5t5w, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5965,HGNC_18365,"5t5w, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_18365,HGNC_5965,"5t5w, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5999,HGNC_15564,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_15564,HGNC_5999,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5995,HGNC_15564,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_15564,HGNC_5995,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_18788,HGNC_16795,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16795,HGNC_18788,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16977,HGNC_16795,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16795,HGNC_16977,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_13700,HGNC_14900,"3dgc, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_14900,HGNC_13700,"3dgc, PDB",receptor_of,Curated_relationship,CellPhoneDB
